Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction ends, fusion, 0, 1, 30000000, 0, 30172800, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 30000000, 0, 30173100, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 40000000, 0, 40206400, NO TRIGGER, 0, <>, <>
Reaction starts, s1, 0, 1, 40000000, 0, 40242200, NO TRIGGER, 0, <s1.t1:>, <>
Reaction ends, s1, 0, 1, 40000000, 0, 40252600, NO TRIGGER, 0, <>, <fusion.p1:>
Reaction starts, s2, 0, 1, 40000000, 0, 40254500, NO TRIGGER, 0, <s2.t2:>, <>
Reaction ends, s2, 0, 1, 40000000, 0, 40254800, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 40000000, 0, 40255400, NO TRIGGER, 0, <fusion.p1:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 40000000, 0, 40260900, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 40000000, 0, 40261200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 40000000, 1, 40262100, NO TRIGGER, 0, <>, <>
Reaction starts, fusion, 1, 1, 40000000, 1, 40262300, NO TRIGGER, 0, <fusion.la1:>, <>
Reaction ends, fusion, 1, 1, 40000000, 1, 40263100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 40000000, 1, 40263200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 50000000, 0, 50259700, NO TRIGGER, 0, <>, <>
Reaction starts, s2, 0, 1, 50000000, 0, 50261100, NO TRIGGER, 0, <s2.t2:>, <>
Reaction ends, s2, 0, 1, 50000000, 0, 50262200, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 50000000, 0, 50263100, NO TRIGGER, 0, <fusion.p2:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 50000000, 0, 50263500, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 50000000, 0, 50263800, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 60000000, 0, 60218200, NO TRIGGER, 0, <>, <>
Reaction starts, s1, 0, 1, 60000000, 0, 60276000, NO TRIGGER, 0, <s1.t1:>, <>
Reaction ends, s1, 0, 1, 60000000, 0, 60290600, NO TRIGGER, 0, <>, <fusion.p1:>
Reaction starts, s2, 0, 1, 60000000, 0, 60294000, NO TRIGGER, 0, <s2.t2:>, <>
Reaction ends, s2, 0, 1, 60000000, 0, 60294400, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 60000000, 0, 60295300, NO TRIGGER, 0, <fusion.p1:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 60000000, 0, 60303100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 60000000, 0, 60303900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 60000000, 1, 60305200, NO TRIGGER, 0, <>, <>
Reaction starts, fusion, 1, 1, 60000000, 1, 60305600, NO TRIGGER, 0, <fusion.la1:>, <>
Reaction ends, fusion, 1, 1, 60000000, 1, 60306900, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 60000000, 1, 60307100, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 70000000, 0, 70578000, NO TRIGGER, 0, <>, <>
Reaction starts, s2, 0, 1, 70000000, 0, 70581300, NO TRIGGER, 0, <s2.t2:>, <>
