Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction starts, semantic, 0, 1, 30000000, 1, 30320000, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 30000000, 1, 30320200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 30000000, 1, 30320500, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 36000000, 0, 36490100, NO TRIGGER, 0, <>, <>
Reaction starts, camera, 0, 1, 36000000, 0, 36492000, NO TRIGGER, 0, <camera.tCamera:>, <>
Reaction ends, camera, 0, 1, 36000000, 0, 36493800, NO TRIGGER, 0, <>, <dataFusion.imageobject:>
Reaction starts, dataFusion, 0, 1, 36000000, 0, 36494600, NO TRIGGER, 0, <dataFusion.imageobject:>, <>
Reaction ends, dataFusion, 0, 1, 36000000, 0, 36704200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 36000000, 0, 36704600, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 36000000, 1, 36705000, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 36000000, 1, 36705200, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 36000000, 1, 36755000, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 36000000, 1, 36755400, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 36000000, 1, 36755600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 36000000, 1, 36755900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 40000000, 0, 40121200, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 40000000, 0, 40122000, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 40000000, 0, 40122800, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 40000000, 0, 40139800, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 40000000, 0, 40302200, NO TRIGGER, 0, <>, <>
Reaction starts, semantic, 1, 1, 40000000, 0, 40302500, NO TRIGGER, 0, <semantic.t:>, <>
Reaction ends, semantic, 1, 1, 40000000, 0, 40302600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 40000000, 0, 40302700, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 40000000, 1, 40303100, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 40000000, 1, 40303200, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 40000000, 1, 40330300, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 40000000, 1, 40330400, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 40000000, 1, 40330600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 40000000, 1, 40330900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 50000000, 0, 50309100, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 50000000, 0, 50310000, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 50000000, 0, 50310800, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 50000000, 0, 50325600, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 50000000, 0, 50491600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 50000000, 0, 50491900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 50000000, 1, 50492300, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 50000000, 1, 50492400, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 50000000, 1, 50511300, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 50000000, 1, 50511500, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 50000000, 1, 50511600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 50000000, 1, 50511900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 60000000, 0, 60172600, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 60000000, 0, 60173500, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 60000000, 0, 60174500, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
